26-08-20 15:24:13.068 [restartedMain] INFO  c.Aether.Journal.JournalApplication - Starting JournalApplication using Java 23.0.1 with PID 40662 (/Users/aethers/Documents/Project/Journal/target/classes started by aethers in /Users/aethers/Documents/Project/Journal) 
26-08-20 15:24:13.070 [restartedMain] INFO  c.Aether.Journal.JournalApplication - The following 1 profile is active: "prod" 
26-08-20 15:24:13.106 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
26-08-20 15:24:13.106 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
26-08-20 15:24:13.424 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
26-08-20 15:24:13.446 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 2 MongoDB repository interfaces. 
26-08-20 15:24:13.645 [restartedMain] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8010 (http) 
26-08-20 15:24:13.652 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8010"] 
26-08-20 15:24:13.654 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
26-08-20 15:24:13.654 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22] 
26-08-20 15:24:13.672 [restartedMain] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 566 ms 
26-08-20 15:24:13.874 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|spring-boot|sync", "version": "5.6.5"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "26.5.2"}, "platform": "Java/Oracle Corporation/23.0.1+11-39"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='ak04238_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2b9349de, com.mongodb.Jep395RecordCodecProvider@101fe18a, com.mongodb.KotlinCodecProvider@6f9f8638, EnumCodecProvider{}]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.pzfq9mh.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-8lg1uo-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null} 
26-08-20 15:24:13.967 [cluster-ClusterId{value='6a86cec5b5a27d2078372408', description='Cluster0'}-srv-cluster0.pzfq9mh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017 to client view of cluster 
26-08-20 15:24:13.976 [cluster-ClusterId{value='6a86cec5b5a27d2078372408', description='Cluster0'}-srv-cluster0.pzfq9mh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017 to client view of cluster 
26-08-20 15:24:13.976 [cluster-ClusterId{value='6a86cec5b5a27d2078372408', description='Cluster0'}-srv-cluster0.pzfq9mh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017 to client view of cluster 
26-08-20 15:24:13.976 [restartedMain] DEBUG o.s.d.m.c.i.MongoPersistentEntityIndexCreator - Analyzing class class com.Aether.Journal.entity.JournalEntry for index information 
26-08-20 15:24:13.979 [restartedMain] DEBUG o.s.d.m.c.i.MongoPersistentEntityIndexCreator - Analyzing class class com.Aether.Journal.entity.User for index information 
26-08-20 15:24:13.996 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation createIndexes with ID 5. Remaining time: 29997 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-0gkgaqh-shard-00-01.pzfq9mh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-0gkgaqh-shard-00-02.pzfq9mh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-0gkgaqh-shard-00-00.pzfq9mh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]. 
